time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff
01:00:05,279.40942,-0.14923146,-1.4904554,2,drone90,55,129,4,5
01:00:10,279.4246,-0.08562789,-1.4465584,3,drone90,55,129,5,10
01:00:15,279.43646,-0.048128128,-1.4343331,2,drone90,55,124,7,15
01:00:20,279.43994,-0.019604474,-1.4316688,2,drone90,60,123,9,20
01:00:25,279.4369,0.016912803,-1.4156041,2,drone90,63,128,10,25
01:00:30,279.42807,0.057557285,-1.3754009,2,drone90,63,135,10,30
01:00:35,279.412,0.093961924,-1.2916973,3,drone90,65,140,10,35
01:00:40,279.39413,0.09694682,-1.1919532,2,drone90,66,147,10,40
01:00:45,279.38007,0.065808654,-1.1197584,2,drone90,67,153,10,45
01:00:50,279.36652,0.00910983,-1.0699174,2,drone90,69,160,10,50
01:00:55,279.35037,-0.08181702,-1.0510026,3,drone90,70,167,10,55
01:01:00,279.33557,-0.16847013,-1.0694704,2,drone90,71,173,10,60
01:01:05,279.3264,-0.21337709,-1.1001782,2,drone90,72,179,10,65
01:01:10,279.3206,-0.21711232,-1.136653,3,drone90,73,185,10,70
01:01:15,279.3216,-0.16408381,-1.1554925,2,drone90,75,192,10,75
01:01:20,279.3268,-0.08773601,-1.1497054,2,drone90,76,198,10,80
01:01:25,279.3338,-0.00096401013,-1.125314,2,drone90,77,203,10,85
01:01:30,279.34094,0.08010514,-1.0858897,2,drone90,78,209,10,90
01:01:35,279.34842,0.1597804,-1.025803,3,drone90,79,215,10,95
01:01:40,279.35428,0.21901518,-0.96554047,2,drone90,80,221,10,100
01:01:45,279.35873,0.2605745,-0.91243213,3,drone90,82,226,10,105
01:01:50,279.36243,0.2904988,-0.8672222,2,drone90,83,232,10,110
01:01:55,279.36575,0.30985156,-0.8315062,3,drone90,88,232,10,115
01:02:00,279.36914,0.3210248,-0.8039001,2,drone90,90,228,10,120
01:02:05,279.37296,0.32403684,-0.7859671,3,drone90,90,224,10,125
01:02:10,279.37756,0.32046202,-0.7769822,2,drone90,90,219,10,130
01:02:15,279.38358,0.30960754,-0.7788806,3,drone90,90,214,10,135
01:02:20,279.3913,0.29243594,-0.79119337,2,drone90,90,209,10,140
01:02:25,279.39923,0.27368236,-0.81040686,2,drone90,90,205,10,145
01:02:30,279.41165,0.2441982,-0.84804416,3,drone90,90,200,10,150
01:02:35,279.4275,0.2103259,-0.8992493,2,drone90,90,194,10,155
01:02:40,279.45285,0.17304385,-0.9704891,3,drone90,90,189,10,160
01:02:45,279.49753,0.1347595,-1.0629783,2,drone90,90,184,10,165
01:02:50,279.55743,0.10599467,-1.1461208,2,drone90,90,178,10,170
01:02:55,279.66098,0.073581964,-1.239065,3,drone90,91,172,10,175
01:03:00,279.7782,0.034091387,-1.3054451,2,drone90,90,167,10,180
01:03:05,279.87708,-0.039124653,-1.3269881,3,drone90,90,162,10,185
01:03:10,279.9259,-0.1904111,-1.3042716,3,drone90,90,158,10,190
01:03:15,279.88614,-0.39740118,-1.2669657,3,drone90,90,153,10,195
01:03:20,279.80286,-0.5799872,-1.2505472,2,drone90,90,149,10,200
01:03:25,279.69717,-0.73390883,-1.2635854,3,drone90,90,145,10,205
01:03:30,279.5813,-0.8535614,-1.3184451,3,drone90,90,141,10,210
01:03:35,279.50092,-0.90907377,-1.4029526,3,drone90,90,137,10,215
01:03:40,279.4597,-0.9392602,-1.4747177,3,drone90,90,132,10,220
01:03:45,279.44107,-0.9858449,-1.4989424,3,drone90,90,128,10,225
01:03:50,279.42877,-1.0638268,-1.4651343,3,drone90,90,124,10,230
01:03:55,279.41617,-1.157215,-1.3911144,3,drone90,90,119,10,235
01:04:00,279.40427,-1.2433442,-1.3102883,3,drone90,91,115,10,240
01:04:05,279.39648,-1.3029845,-1.2539939,2,drone90,91,111,10,245
01:04:10,279.392,-1.3502771,-1.2146264,3,drone90,91,107,10,250
01:04:15,279.38925,-1.397514,-1.1856937,3,drone90,90,102,10,255
01:04:20,279.38712,-1.4306993,-1.1734433,2,drone90,91,97,10,260
01:04:25,279.38443,-1.4538094,-1.1675929,3,drone90,91,93,10,265
01:04:30,279.38226,-1.462245,-1.1632046,2,drone90,91,88,10,270
01:04:35,279.3812,-1.4534334,-1.1551181,3,drone90,91,83,10,275
01:04:40,279.38162,-1.4381775,-1.140764,2,drone90,91,79,10,280
01:04:45,279.38293,-1.4275438,-1.125443,2,drone90,91,74,10,285
01:04:50,279.3848,-1.4206096,-1.1046791,3,drone90,91,68,10,290
01:04:55,279.38577,-1.4186958,-1.0863017,2,drone90,91,63,10,295
01:05:00,279.38538,-1.4177788,-1.0776811,2,drone90,91,58,10,300
01:05:05,279.38416,-1.4148693,-1.0760257,2,drone90,91,53,10,305
01:05:10,279.38266,-1.4066763,-1.0829803,3,drone90,91,48,10,310
01:05:15,279.38254,-1.3946455,-1.0974963,2,drone90,91,43,10,315
01:05:20,279.38458,-1.3844981,-1.1126034,2,drone90,91,38,10,320
01:05:25,279.39047,-1.3761564,-1.1306037,3,drone90,91,33,10,325
01:05:30,279.39966,-1.3756626,-1.1451159,2,drone90,91,29,10,330
01:05:35,279.40918,-1.3824831,-1.152333,2,drone90,91,24,10,335
01:05:40,279.41937,-1.3937542,-1.1563071,2,drone90,91,19,10,340
01:05:45,279.43176,-1.4102955,-1.1628298,3,drone90,89,15,10,345
01:05:50,279.44226,-1.4264393,-1.174069,2,drone90,83,14,10,350
01:05:55,279.4478,-1.4384441,-1.1841309,2,drone90,77,14,10,355
01:06:00,279.45,-1.4493623,-1.1892126,2,drone90,75,19,10,360
01:06:05,279.44736,-1.4586464,-1.1804343,3,drone90,76,24,10,365
