time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_direction
01:00:05,277.62678906072716,-3.1190448,5.113488,7,drone90,55,129,4,5,5.5325220321832616,3.3404452608699975
01:00:10,277.4549702377793,-2.6787398,5.341172,7,drone90,55,129,5,10,6.193449310056704,1.3832116607216876
01:00:15,277.5153382702534,-2.7399545,5.548329,7,drone90,55,124,7,15,6.4802412484907626,4.153948149975198
01:00:20,277.56276461332504,-2.9167638,5.7077684,8,drone90,60,123,9,20,5.92435574943334,1.683689413891464
01:00:25,276.55777791087144,-2.9204993,5.6781435,7,drone90,63,128,10,25,7.057720234056796,2.607726733604933
01:00:30,276.9971561765738,-3.0066493,5.332756,7,drone90,63,135,10,30,6.41377315087314,2.3944724957079337
01:00:35,277.0276218229467,-3.015339,4.960149,7,drone90,65,140,10,35,5.379164831801032,2.955381178965647
01:00:40,277.73436570318705,-2.8701987,4.750858,7,drone90,66,147,10,40,5.247060828741672,0.7096581739696761
01:00:45,277.5051333298054,-2.6403406,4.678811,7,drone90,67,153,10,45,7.148190260249333,2.198562004591425
01:00:50,277.3094426435678,-2.5483768,4.758353,7,drone90,69,160,10,50,7.235485725590679,2.1700665552121476
01:00:55,277.6518698410014,-2.80633,4.8580847,7,drone90,70,167,10,55,4.970059518565344,1.7206007244403012
01:01:00,277.5619870706922,-2.9101174,5.0883985,7,drone90,71,173,10,60,3.9502617882159576,1.5955443080833442
01:01:05,278.27810828495274,-2.858284,5.3691607,7,drone90,72,179,10,65,5.801944021282427,1.6660107295529942
01:01:10,277.5979492029833,-2.9017446,5.4010825,7,drone90,73,185,10,70,6.856568340649446,3.0238238034075513
01:01:15,278.2748034885045,-3.1091037,5.041732,7,drone90,75,192,10,75,8.359748375707424,2.051687850938229
01:01:20,278.7170551924684,-3.401558,4.3990936,7,drone90,76,198,10,80,6.594138168807351,2.6267072161662544
01:01:25,278.4216307817726,-3.6128356,3.7114048,7,drone90,77,203,10,85,3.7923574637943114,2.3372240561344966
01:01:30,278.15003637446466,-3.978247,3.431624,7,drone90,78,209,10,90,5.383316070701366,2.354556578630297
01:01:35,278.09347743720815,-4.210169,3.8043532,8,drone90,79,215,10,95,6.19771954989271,2.2048031868659264
01:01:40,277.98931114083354,-4.122495,4.018571,7,drone90,80,221,10,100,4.259583804993912,3.36484860825378
01:01:45,278.0982016187118,-3.6909719,3.8924599,7,drone90,82,226,10,105,5.362329746332071,2.4688892740822266
01:01:50,277.8351106070997,-3.1179535,3.633816,7,drone90,83,232,10,110,5.344848870854763,1.57488375676387
01:01:55,278.17708833196724,-2.7713766,3.5775745,8,drone90,88,232,10,115,4.483074903625042,3.722074137794954
01:02:00,277.3424802024695,-2.5179367,3.5293674,7,drone90,90,228,10,120,3.22272728553895,2.736031469880589
01:02:05,278.02380703858177,-2.5291326,3.498062,7,drone90,90,224,10,125,3.3047905051794535,1.894556675522709
01:02:10,278.34415893220864,-2.7269406,3.5466902,7,drone90,90,219,10,130,5.112431155470099,2.7459524373739472
01:02:15,278.23225273208476,-2.853927,3.627256,7,drone90,90,214,10,135,4.334050077843244,1.9439662935966564
01:02:20,278.4292525315058,-2.8962286,3.7618682,7,drone90,90,209,10,140,5.085298207750034,1.7671312674525455
01:02:25,278.4417248513928,-3.1104147,3.7829342,8,drone90,90,205,10,145,5.527758646900891,2.616047984117412
01:02:30,278.44841905534867,-3.47398,3.3384564,7,drone90,90,200,10,150,3.2984842412278255,0.3838135562361915
01:02:35,278.41392269706233,-3.595469,3.2694702,7,drone90,90,194,10,155,6.178479526136661,2.9150569250346314
01:02:40,278.4012534091989,-3.8393843,3.6193194,7,drone90,90,189,10,160,5.77805709405776,0.9817576504390724
01:02:45,277.4449788471632,-3.9537737,4.0709352,7,drone90,90,184,10,165,5.0366834173159765,3.6805076852672034
01:02:50,278.07981104225075,-3.920779,4.358505,7,drone90,90,178,10,170,4.191329974312142,2.151136623175592
01:02:55,277.88922467026157,-3.9058688,4.606452,7,drone90,91,172,10,175,4.895241177930446,1.3610430089126346
01:03:00,278.3751049673746,-3.7990077,4.7844005,6,drone90,90,167,10,180,5.674378630548292,1.789428850829652
01:03:05,278.10155276536796,-3.6295063,4.6358614,7,drone90,90,162,10,185,5.133769124943941,1.9745961737905242
01:03:10,277.9161465979166,-3.4021244,4.1969233,7,drone90,90,158,10,190,5.728215041234239,2.743715515172569
01:03:15,277.77724562660995,-3.2142732,3.5371025,6,drone90,90,153,10,195,5.586280615782279,2.468192457737166
01:03:20,278.34192385716335,-3.3372424,2.8555586,7,drone90,90,149,10,200,4.207105335827251,2.328422179810806
01:03:25,278.27813402760995,-3.7249322,2.7306817,7,drone90,90,145,10,205,6.0430162654570285,2.4486294651789935
01:03:30,278.3915807117768,-3.9550376,3.2137103,7,drone90,90,141,10,210,5.375528573023945,2.9512069614591816
01:03:35,277.6594747137286,-4.0126104,3.86668,7,drone90,90,137,10,215,5.013059745004645,2.3796238313214433
01:03:40,277.4422771854516,-3.9264922,4.346368,7,drone90,90,132,10,220,4.269278884382443,1.8355082784854482
01:03:45,277.9344713343043,-3.7619998,4.2578125,7,drone90,90,128,10,225,5.230996633531533,2.067569962797918
01:03:50,278.1326717374858,-3.9492908,3.7338028,7,drone90,90,124,10,230,5.015023886619433,1.8665544795839077
01:03:55,277.95959208163526,-4.4644465,3.5278754,8,drone90,90,119,10,235,6.417354705065319,1.8355822536324644
01:04:00,277.9048821410101,-4.643805,3.6028295,7,drone90,91,115,10,240,5.904160067779127,2.8742394064621934
01:04:05,277.8977955462323,-5.442565,4.5409336,7,drone90,91,111,10,245,5.6900765843703836,1.6744223189549192
01:04:10,278.03413468530607,-5.669919,5.536601,7,drone90,91,107,10,250,6.496022746339647,2.613971177946558
01:04:15,278.01282289352224,-5.698677,4.9933705,7,drone90,90,102,10,255,8.053083909176557,3.073192424429846
01:04:20,277.91331438422657,-5.5616336,4.7892866,7,drone90,91,97,10,260,5.9238794500073,2.211442169497071
01:04:25,278.2251974528979,-5.0692763,5.398359,7,drone90,91,93,10,265,8.077538751600006,3.1460862443096946
01:04:30,277.9457125646764,-4.1029468,5.91579,6,drone90,91,88,10,270,8.153700592073172,2.482386429165267
01:04:35,277.57877351692963,-3.7524605,5.722047,7,drone90,91,83,10,275,8.03095303188254,1.0108741353584412
01:04:40,277.99050377013884,-4.2124386,5.202521,8,drone90,91,79,10,280,6.825307657359731,0.7993642663799749
01:04:45,277.63506868977896,-4.8807755,4.6319976,7,drone90,91,74,10,285,7.485890520259789,2.442824967350706
01:04:50,278.07081602077454,-5.2660193,4.4106145,7,drone90,91,68,10,290,7.317967146457759,2.7388013088320915
01:04:55,278.22009289480627,-5.3754735,4.413469,8,drone90,91,63,10,295,7.317686394846176,1.778429154905172
01:05:00,277.3680673301801,-5.190812,4.718394,8,drone90,91,58,10,300,7.788998093395895,1.7287565521129897
01:05:05,277.8302797481459,-5.0308795,4.843257,7,drone90,91,53,10,305,7.248032678898608,3.0887924806266662
01:05:10,277.59145206013926,-4.969333,4.680156,7,drone90,91,48,10,310,6.128029197100651,3.8193204510663903
01:05:15,278.0511482945749,-4.847482,4.424606,8,drone90,91,43,10,315,9.232924311621215,1.7389776032644213
01:05:20,277.9203533996766,-4.549933,4.0303793,8,drone90,91,38,10,320,4.483335151796368,2.294965279350621
