time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff
01:00:05,277.36188,-0.97076386,1.3185177,5,drone90,55,129,4,5
01:00:10,277.36185,-0.9660634,1.1912882,5,drone90,55,129,5,10
01:00:15,277.37018,-0.97712255,1.0514178,4,drone90,55,124,7,15
01:00:20,277.38873,-1.0018773,0.9220205,4,drone90,60,123,9,20
01:00:25,277.4226,-1.0302374,0.7977732,5,drone90,63,128,10,25
01:00:30,277.47305,-1.0392537,0.6938934,5,drone90,63,135,10,30
01:00:35,277.5265,-1.019526,0.63128394,4,drone90,65,140,10,35
01:00:40,277.5799,-0.97998744,0.6017949,5,drone90,66,147,10,40
01:00:45,277.63287,-0.9258009,0.6088252,5,drone90,67,153,10,45
01:00:50,277.6718,-0.8728613,0.6606297,4,drone90,69,160,10,50
01:00:55,277.70343,-0.8142686,0.7553928,5,drone90,70,167,10,55
01:01:00,277.7468,-0.7389963,0.89848316,5,drone90,71,173,10,60
01:01:05,277.81494,-0.64473104,1.0805526,4,drone90,72,179,10,65
01:01:10,277.9083,-0.5391744,1.2730774,4,drone90,73,185,10,70
01:01:15,278.0287,-0.4217627,1.4663764,4,drone90,75,192,10,75
01:01:20,278.16656,-0.294987,1.6414188,5,drone90,76,198,10,80
01:01:25,278.23538,-0.21055439,1.7325038,4,drone90,77,203,10,85
01:01:30,278.17053,-0.19939677,1.7456409,4,drone90,78,209,10,90
01:01:35,277.94415,-0.25375485,1.7506363,5,drone90,79,215,10,95
01:01:40,277.66217,-0.32726666,1.8265944,4,drone90,80,221,10,100
01:01:45,277.50443,-0.34588522,1.9852784,4,drone90,82,226,10,105
01:01:50,277.51434,-0.24710552,2.22285,5,drone90,83,232,10,110
01:01:55,277.71948,-0.020388018,2.4330788,4,drone90,88,232,10,115
01:02:00,278.02075,0.22205423,2.5516312,4,drone90,90,228,10,120
01:02:05,278.3063,0.4120799,2.5983071,5,drone90,90,224,10,125
01:02:10,278.30685,0.4605046,2.5128465,4,drone90,90,219,10,130
01:02:15,278.07123,0.43251726,2.397688,4,drone90,90,214,10,135
01:02:20,277.81454,0.3761046,2.467197,5,drone90,90,209,10,140
01:02:25,277.78528,0.25923094,2.8694494,5,drone90,90,205,10,145
01:02:30,278.02353,0.045819156,3.325252,4,drone90,90,200,10,150
01:02:35,278.3137,-0.34520927,3.6739833,5,drone90,90,194,10,155
01:02:40,278.2727,-0.9388161,3.7898316,5,drone90,90,189,10,160
01:02:45,278.00824,-1.3782538,3.845468,4,drone90,90,184,10,165
01:02:50,277.83636,-1.377663,4.022626,5,drone90,90,178,10,170
01:02:55,277.74487,-1.2482594,4.1553283,5,drone90,91,172,10,175
01:03:00,277.65753,-1.3922317,4.165792,4,drone90,90,167,10,180
01:03:05,277.57916,-1.5308933,3.9922707,5,drone90,90,162,10,185
01:03:10,277.59293,-1.4463059,3.5686753,4,drone90,90,158,10,190
01:03:15,277.73016,-1.3504078,3.1268864,4,drone90,90,153,10,195
01:03:20,277.91025,-1.2181704,2.9318206,5,drone90,90,149,10,200
01:03:25,277.97394,-1.0045233,3.0389817,4,drone90,90,145,10,205
01:03:30,278.0716,-0.9329602,3.3710966,4,drone90,90,141,10,210
01:03:35,278.2302,-1.0071995,4.0593104,5,drone90,90,137,10,215
01:03:40,277.97943,-1.256405,4.6457663,4,drone90,90,132,10,220
01:03:45,277.6278,-1.8781252,4.836749,4,drone90,90,128,10,225
01:03:50,277.53897,-2.396293,4.6479235,4,drone90,90,124,10,230
01:03:55,277.70758,-2.2950006,4.378978,5,drone90,90,119,10,235
01:04:00,278.15665,-2.013392,4.4293566,4,drone90,91,115,10,240
01:04:05,278.18533,-1.8741407,4.507217,4,drone90,91,111,10,245
01:04:10,277.63516,-1.8286607,4.454589,4,drone90,91,107,10,250
01:04:15,277.39587,-1.7085516,4.2822714,4,drone90,90,102,10,255
01:04:20,277.45795,-1.5622503,4.0886917,3,drone90,91,97,10,260
01:04:25,277.50632,-1.4224982,3.9082007,4,drone90,91,93,10,265
01:04:30,277.56116,-1.2834682,3.7555707,4,drone90,91,88,10,270
01:04:35,277.63272,-1.1075885,3.6461434,4,drone90,91,83,10,275
01:04:40,277.72852,-0.7806178,3.6084154,4,drone90,91,79,10,280
01:04:45,277.82828,-0.41775978,3.7738066,3,drone90,91,74,10,285
01:04:50,277.79053,-0.17060383,4.0854464,4,drone90,91,68,10,290
01:04:55,277.55685,-0.047710538,4.2897344,4,drone90,91,63,10,295
01:05:00,277.42468,0.01938608,4.2968683,4,drone90,91,58,10,300
01:05:05,277.44098,0.05671512,4.2936006,4,drone90,91,53,10,305
01:05:10,277.43918,0.13030738,4.268106,4,drone90,91,48,10,310
