time,utm_x,utm_y,utm_z,theta,wind_speed,wind_dir,drone,seconds_after_takeoff
2022-08-24 10:26:05,513279,8265342,18.092967820790605,279.1494686898184,0.0,0.0,drone90,5
2022-08-24 10:26:10,513278,8265333,36.35930172083913,278.48302219489017,0.0877272434234619,0.11406166267395008,drone90,10
2022-08-24 10:26:15,513273,8265258,58.06872474763385,277.6529784510922,1.8332030773162842,2.616081046104431,drone90,15
2022-08-24 10:26:20,513351,8265248,91.51666790998067,277.4192600942455,1.910148938179016,2.8402123603820804,drone90,20
2022-08-24 10:26:25,513396,8265327,116.74468786953908,277.32972482561433,2.0640866689682005,2.5906593170166015,drone90,25
2022-08-24 10:26:30,513408,8265429,125.49307945140602,277.1355053468282,2.3201053924560546,2.5047662887573243,drone90,30
2022-08-24 10:26:35,513437,8265521,128.90521019986596,277.3967253337203,2.617151082992553,2.521413074493408,drone90,35
2022-08-24 10:26:40,513450,8265619,126.86303478718078,277.63460385092634,2.9594719772338864,2.5622434482574463,drone90,40
2022-08-24 10:26:45,513469,8265727,121.87833253831029,277.603486583839,3.445173923492431,2.608637929916382,drone90,45
2022-08-24 10:26:50,513494,8265837,122.3809972737691,277.8235394126209,3.90013292503357,2.6817129917144777,drone90,50
2022-08-24 10:26:55,513514,8265940,127.71744942331266,278.6826751412745,4.126516754150391,2.721303041458131,drone90,55
2022-08-24 10:27:00,513530,8266035,126.03527163902365,278.7459884663091,4.0123193740844725,2.700269269943237,drone90,60
2022-08-24 10:27:05,513553,8266136,120.70081713547377,278.6355558629133,3.8631286277770998,2.6756512393951417,drone90,65
2022-08-24 10:27:10,513570,8266241,122.7707240169618,278.1714702163714,3.8854366340637205,2.6883027400970456,drone90,70
2022-08-24 10:27:15,513592,8266342,119.00030187775374,278.0418803012858,3.907829555511474,2.700355314254761,drone90,75
2022-08-24 10:27:20,513611,8266439,120.07067815834424,278.09142485800044,3.844928649902343,2.692465213775635,drone90,80
2022-08-24 10:27:25,513630,8266529,120.56138068612071,278.0685560303057,3.6554643688201907,2.6534033870697025,drone90,85
2022-08-24 10:27:30,513646,8266620,121.6645085735363,278.1342600678935,3.432448574066162,2.594993003845215,drone90,90
2022-08-24 10:27:35,513664,8266714,122.6532135780952,278.0992009899242,3.2754611854553226,2.538505516052246,drone90,95
2022-08-24 10:27:40,513683,8266803,118.6521938054038,278.05761985206846,3.0787902336120605,2.4620430278778076,drone90,100
2022-08-24 10:27:45,513700,8266892,114.00146459559835,278.1068995649163,2.8797466640472402,2.375530843734741,drone90,105
2022-08-24 10:27:50,513730,8266981,113.31947469033082,278.1891250830599,2.8109949569702146,2.350504915237427,drone90,110
2022-08-24 10:27:55,513798,8266989,117.55588818726316,278.19136199429886,2.774156673431396,2.3731283340454112,drone90,115
2022-08-24 10:28:00,513828,8266925,123.7407009999994,278.24093382397376,2.623610559463501,2.3962792606353758,drone90,120
2022-08-24 10:28:05,513832,8266856,126.53327534635325,278.35888848301454,2.556579088211059,2.489345096588135,drone90,125
2022-08-24 10:28:10,513829,8266779,120.91349159950698,278.4702705176419,2.509762369155883,2.592926212310791,drone90,130
2022-08-24 10:28:15,513831,8266699,119.34836330915982,278.5449166537761,2.437636562347412,2.669725784301758,drone90,135
2022-08-24 10:28:20,513828,8266622,120.64650554840037,278.388378917342,2.3835516071319582,2.7330597000122068,drone90,140
2022-08-24 10:28:25,513835,8266546,120.94115680961079,278.32732481196405,2.3509395923614504,2.781782367706299,drone90,145
2022-08-24 10:28:30,513831,8266469,119.18113804776468,278.29634870868153,2.2836028194427493,2.7988931312561034,drone90,150
2022-08-24 10:28:35,513829,8266384,120.0010650136873,278.4336502214907,2.203590539932251,2.7450464572906492,drone90,155
2022-08-24 10:28:40,513837,8266297,125.83284919935804,278.3413666643176,2.029417664527893,2.617687128067016,drone90,160
2022-08-24 10:28:45,513836,8266212,130.5571060024585,278.34579802912145,1.8230883102416993,2.473394943237305,drone90,165
2022-08-24 10:28:50,513836,8266123,130.51667129809977,278.4340847631289,1.6469996213912967,2.3622886924743653,drone90,170
2022-08-24 10:28:55,513845,8266032,125.84076073837382,278.4031041226579,1.5033129053115848,2.2795755691528328,drone90,175
2022-08-24 10:29:00,513839,8265943,119.58883642143431,278.25424892746923,1.4457763471603395,2.2545922489166266,drone90,180
2022-08-24 10:29:05,513838,8265866,123.5059014649876,278.29282278826713,1.5855119466781615,2.3931671943664554,drone90,185
2022-08-24 10:29:10,513841,8265795,120.40422784140432,278.3092233764723,1.9040429563522339,2.6296086196899413,drone90,190
2022-08-24 10:29:15,513842,8265724,115.24043530122859,278.28743469557037,2.228704647064209,2.7976121730804446,drone90,195
2022-08-24 10:29:20,513837,8265656,115.1476897426414,278.24137757627517,2.524102174758911,2.9312951488494874,drone90,200
2022-08-24 10:29:25,513839,8265591,117.39597025867984,278.1658710200343,2.7523684177398677,3.0123154888153083,drone90,205
2022-08-24 10:29:30,513839,8265526,118.51634870460775,278.09688261009114,2.9784479064941403,3.056446128845215,drone90,210
2022-08-24 10:29:35,513841,8265459,122.41516403993151,278.0526611163199,3.151103464126587,3.0784616985321045,drone90,215
2022-08-24 10:29:40,513843,8265393,124.95506310411038,278.0603926419253,3.2999812431335456,3.091916934967041,drone90,220
2022-08-24 10:29:45,513841,8265323,121.33744767139471,278.2550812929932,3.418377065658569,3.10772216796875,drone90,225
2022-08-24 10:29:50,513842,8265251,115.95822863180884,278.2107975663948,3.4760167083740234,3.130981727600097,drone90,230
