time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_dir
01:00:05,275.29727,1.5598574,3.2698727,6,drone90,52,125,4,5,3.622874905726121,1.1256855157808427
01:00:10,275.60068,2.0508912,3.101831,5,drone90,52,125,5,10,3.7185360381201686,0.986596744567021
01:00:15,275.81262,2.269285,2.864218,6,drone90,52,120,7,15,3.6542303105782756,0.9007756638278339
01:00:20,275.83853,2.3462906,2.7536578,7,drone90,57,119,9,20,3.617694135654533,0.8651056615559076
01:00:25,275.56674,2.4830134,2.7571003,7,drone90,60,124,10,25,3.710385102498075,0.8376560665637731
01:00:30,275.13904,2.5331993,2.7882981,7,drone90,60,131,10,30,3.76718794168596,0.8332989034612606
01:00:35,274.9941,2.5693824,2.7635283,7,drone90,62,136,10,35,3.773435382026655,0.8217873341859319
01:00:40,275.0628,2.611253,2.6622794,7,drone90,63,143,10,40,3.7291250761637587,0.7950738046544643
01:00:45,275.08777,2.5917034,2.537502,7,drone90,64,149,10,45,3.6270984152040264,0.7748313448701056
01:00:50,275.06595,2.5370672,2.4081252,6,drone90,66,156,10,50,3.497967546474793,0.759329856958864
01:00:55,275.0545,2.4472787,2.2484286,7,drone90,67,163,10,55,3.323342324343318,0.7430762404170315
01:01:00,275.05615,2.3250058,2.096493,6,drone90,68,169,10,60,3.1306444814259318,0.7337619017157095
01:01:05,275.06195,2.2205844,1.9891489,7,drone90,70,175,10,65,2.981225993428638,0.7304771642494288
01:01:10,275.07028,2.1782963,1.9178338,6,drone90,71,181,10,70,2.9022510668472723,0.7218962006797538
01:01:15,275.08466,2.1867826,1.8998255,7,drone90,72,188,10,75,2.8967835732261755,0.7152943386800779
01:01:20,275.11484,2.181794,1.964276,6,drone90,73,194,10,80,2.935746116852069,0.7329825599831823
01:01:25,275.18228,2.1313024,2.1366563,6,drone90,74,199,10,85,3.0179049131103266,0.7866526031818974
01:01:30,275.29852,2.078956,2.365876,6,drone90,75,205,10,90,3.149512231649847,0.8498600987505069
01:01:35,275.41885,2.0684924,2.5025182,6,drone90,76,211,10,95,3.2467303784251933,0.8800661653712663
01:01:40,275.51566,2.078999,2.5040584,5,drone90,78,217,10,100,3.2546190733496845,0.8778794172807523
01:01:45,275.62738,2.0904477,2.4171677,5,drone90,79,222,10,105,3.1957270340813806,0.8577534144145122
01:01:50,275.78604,2.1132498,2.2639937,5,drone90,81,228,10,110,3.0970134308458737,0.8198226474793247
01:01:55,275.91177,2.1424346,2.0920196,5,drone90,85,228,10,115,2.994423487428143,0.7734928231330347
01:02:00,275.84195,2.1126575,1.9162234,6,drone90,87,224,10,120,2.8522331305511845,0.7366802508009611
01:02:05,275.55136,2.0357542,1.7898506,5,drone90,87,220,10,125,2.7106936996160225,0.7212081117102249
01:02:10,275.29794,2.0442007,1.7796322,6,drone90,87,215,10,130,2.7103223552111526,0.7163189076743777
01:02:15,275.20242,2.1310413,1.8854104,6,drone90,87,210,10,135,2.8453663030853957,0.7243180416213253
01:02:20,275.21887,2.196145,2.0738764,6,drone90,87,205,10,140,3.0205986465437547,0.7567717963873539
01:02:25,275.28476,2.1974418,2.3715012,7,drone90,87,200,10,145,3.23307414174013,0.8234759568596077
01:02:30,275.3544,2.149468,2.718884,7,drone90,87,196,10,150,3.46591155231636,0.9018319205911345
01:02:35,275.3757,2.082112,2.9445972,6,drone90,87,190,10,155,3.606361469790825,0.9553240097758042
01:02:40,275.33353,1.9990622,2.9737537,6,drone90,87,185,10,160,3.5832193273273867,0.978948419990326
01:02:45,275.25278,1.8844374,2.8337348,6,drone90,87,180,10,165,3.403109935228335,0.9839475376185902
01:02:50,275.18356,1.7321476,2.5941832,6,drone90,87,174,10,170,3.119314313009832,0.9820756197476044
01:02:55,275.1522,1.596376,2.3415847,6,drone90,88,168,10,175,2.83397869445945,0.9724237953181998
01:03:00,275.15543,1.5543633,2.1361644,6,drone90,87,163,10,180,2.641825810346748,0.94175844717173
01:03:05,275.178,1.6103565,1.999313,6,drone90,87,158,10,185,2.567197017967505,0.8927380509647485
01:03:10,275.19962,1.705349,1.917749,6,drone90,88,154,10,190,2.566315732485385,0.8439550056632887
01:03:15,275.2158,1.7868044,1.8739942,5,drone90,88,149,10,195,2.589309604024401,0.80921081435128
01:03:20,275.26163,1.8660663,1.8584495,6,drone90,87,145,10,200,2.633635886003595,0.7833531218965684
01:03:25,275.37482,1.93584,1.8479738,5,drone90,87,141,10,205,2.6762816875445754,0.7621807388571664
01:03:30,275.5197,1.9288839,1.7890544,6,drone90,87,137,10,210,2.6308380310917223,0.7478064616312823
01:03:35,275.56415,1.8281715,1.6882843,5,drone90,88,133,10,215,2.4884764236453476,0.7456383918789111
01:03:40,275.4231,1.7088856,1.6076006,6,drone90,88,128,10,220,2.346203248443689,0.7548678000596958
01:03:45,275.23785,1.6445496,1.571078,5,drone90,88,124,10,225,2.2743855145828205,0.762553845586627
01:03:50,275.15234,1.6374644,1.562239,6,drone90,88,120,10,230,2.26315716519829,0.7618923769152168
01:03:55,275.15967,1.6569908,1.5664241,5,drone90,88,115,10,235,2.2801980116528147,0.7573090459370748
01:04:00,275.2175,1.6658207,1.5828543,5,drone90,88,111,10,240,2.2979091234374303,0.7598651785047714
01:04:05,275.29077,1.6317877,1.6099472,5,drone90,88,107,10,245,2.2923047538796255,0.7786609778383689
01:04:10,275.33975,1.5470661,1.6446437,6,drone90,88,102,10,250,2.2579341039363614,0.8159608468919526
01:04:15,275.3502,1.4358994,1.6687393,5,drone90,88,98,10,255,2.2014763088175284,0.8602554479309745
01:04:20,275.35312,1.3274649,1.6686518,4,drone90,88,93,10,260,2.1322668431449308,0.8987860872351927
01:04:25,275.38443,1.2035409,1.6599033,5,drone90,88,89,10,265,2.0503145279014388,0.9434443008389346
01:04:30,275.4803,1.0659757,1.6811132,5,drone90,88,84,10,270,1.9905893057596613,1.0056876510560429
01:04:35,275.6255,0.9797717,1.7561692,4,drone90,88,79,10,275,2.010990512943691,1.0619059668645
01:04:40,275.79788,0.97988546,1.8808315,5,drone90,88,75,10,280,2.120778782926607,1.0905018083204325
01:04:45,275.9179,1.1213769,2.0088887,5,drone90,88,70,10,285,2.3006781523805757,1.0616735571198443
01:04:50,275.8512,1.367655,2.028934,4,drone90,88,64,10,290,2.4468455969637724,0.9776819532764245
01:04:55,275.58322,1.6413063,1.9207535,6,drone90,88,59,10,295,2.5264956715145863,0.8636888243508789
01:05:00,275.26993,1.7875369,1.7502489,5,drone90,88,54,10,300,2.5017312766987625,0.7748586278164842
01:05:05,275.12555,1.7604218,1.6162732,5,drone90,88,49,10,305,2.3898585671443993,0.7427348101881588
01:05:10,275.1233,1.6923374,1.5144724,5,drone90,88,44,10,310,2.271042167332108,0.7299901548709098
01:05:15,275.19098,1.6611437,1.4253254,5,drone90,88,39,10,315,2.188824087937368,0.7091424079352997
01:05:20,275.2746,1.6233879,1.3533571,5,drone90,88,34,10,320,2.1135192722061515,0.6949323198177293
01:05:25,275.36713,1.5199722,1.3453318,5,drone90,88,29,10,325,2.0298357423358375,0.7245234279076245
01:05:30,275.47766,1.3879917,1.4386703,5,drone90,88,24,10,330,1.9990730830489865,0.8033250223514878
01:05:35,275.6281,1.2900548,1.615881,5,drone90,88,20,10,335,2.0676829527671887,0.897056167930165
01:05:40,275.83377,1.1297024,1.8646475,5,drone90,88,15,10,340,2.1801692163274873,1.026084214412852
01:05:45,276.04883,0.5695124,2.3276784,6,drone90,86,11,10,345,2.396337018781023,1.3308406644184423
01:05:50,275.99295,-0.20089662,2.9729164,5,drone90,80,10,10,350,2.9796965236943818,1.6382693507630748
01:05:55,275.60687,-0.42306226,3.4175,5,drone90,74,10,10,355,3.4435864917025545,1.693962623058054
01:06:00,275.18167,-0.10991383,3.5554285,6,drone90,72,14,10,360,3.5571270526419942,1.601700853561976
01:06:05,275.1128,0.1673561,3.51772,5,drone90,73,20,10,365,3.521698746714036,1.5232570096191758
01:06:10,275.26425,0.14294662,3.4961216,6,drone90,74,26,10,370,3.4990427231109917,1.529931889419485
01:06:15,275.28757,0.08097331,3.4552956,5,drone90,73,32,10,375,3.456244256459852,1.5473660616812515
01:06:20,275.2176,0.09623545,3.3374004,6,drone90,73,38,10,380,3.3387876080632712,1.5419688625879058
01:06:25,275.19717,0.09094735,3.1693184,6,drone90,73,44,10,385,3.170623052500972,1.5421080138263719
