time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_dir
01:00:05,275.5086,1.6891952,1.3418869,4,drone90,52,125,4,5,2.1573226175272557,0.6713134232237277
01:00:10,275.56384,1.9043691,1.2496545,5,drone90,52,125,5,10,2.2777747997563456,0.5807241556127414
01:00:15,275.5853,2.1332536,1.201782,5,drone90,52,120,7,15,2.4484793030444347,0.5130397569582277
01:00:20,275.5441,2.293715,1.2202458,5,drone90,57,119,9,20,2.5981009052080024,0.4889150942086946
01:00:25,275.465,2.3571637,1.291885,5,drone90,60,124,10,25,2.6879709004791494,0.5013583750624662
01:00:30,275.39642,2.3268256,1.389766,5,drone90,60,131,10,30,2.7102706336399986,0.5384169751410557
01:00:35,275.37106,2.258435,1.4923942,5,drone90,62,136,10,35,2.70698524144825,0.5839363329049219
01:00:40,275.38153,2.2199483,1.5838087,5,drone90,63,143,10,40,2.7270167679844914,0.6196918843721528
01:00:45,275.39325,2.2254715,1.6245283,4,drone90,64,149,10,45,2.755324952671307,0.6305584409690548
01:00:50,275.38757,2.254062,1.5819064,6,drone90,66,156,10,50,2.7537653055779754,0.6119346876223881
01:00:55,275.37375,2.2903762,1.4689932,5,drone90,67,163,10,55,2.720985880002445,0.5702890152521354
01:01:00,275.36722,2.3238873,1.3666004,5,drone90,68,169,10,60,2.695931904997129,0.5315986969714377
01:01:05,275.36044,2.348746,1.2915541,6,drone90,70,175,10,65,2.680432757176126,0.5027594608261419
01:01:10,275.34525,2.3443308,1.2457398,5,drone90,71,181,10,70,2.6547607329348306,0.4884384250783791
01:01:15,275.32886,2.3135023,1.21518,4,drone90,72,188,10,75,2.613226994446768,0.4836473397483356
01:01:20,275.31693,2.2676392,1.1821234,5,drone90,73,194,10,80,2.5572648033014103,0.48054311691285356
01:01:25,275.31158,2.2053552,1.1434,5,drone90,74,199,10,85,2.4841407202827783,0.4783104365671065
01:01:30,275.312,2.129562,1.1099901,4,drone90,75,205,10,90,2.4014812791154565,0.4804864491208116
01:01:35,275.31635,2.0266013,1.0784452,5,drone90,76,211,10,95,2.295682225083587,0.4890314857456035
01:01:40,275.32614,1.9018679,1.0519629,4,drone90,78,217,10,100,2.1734137783742007,0.5052361435268029
01:01:45,275.34723,1.7629583,1.0341189,5,drone90,79,222,10,105,2.0438747189776825,0.5304945992535455
01:01:50,275.39078,1.5970542,1.0252622,5,drone90,81,228,10,110,1.8978263083028648,0.5707100840573114
01:01:55,275.45465,1.4330724,1.026188,4,drone90,85,228,10,115,1.7625998737619835,0.6214335951075318
01:02:00,275.5406,1.2551272,1.0385995,5,drone90,87,224,10,120,1.6291203790942184,0.691277127784498
01:02:05,275.63275,1.0850114,1.0626663,4,drone90,87,220,10,125,1.5187196592148433,0.7749942309221591
01:02:10,275.7103,0.9502547,1.0962061,4,drone90,87,215,10,130,1.4507418131939604,0.8565965451131907
01:02:15,275.7854,0.82602566,1.1472342,5,drone90,87,210,10,135,1.4136706478625336,0.9467634941010168
01:02:20,275.86285,0.70835656,1.2272497,5,drone90,87,205,10,140,1.4170077071932685,1.0473175746108598
01:02:25,275.9295,0.6138272,1.3282459,4,drone90,87,200,10,145,1.46322281362978,1.137897948802972
01:02:30,275.9819,0.5423352,1.4397659,4,drone90,87,196,10,150,1.5385230956868508,1.210551050961561
01:02:35,276.02588,0.4808604,1.5805305,5,drone90,87,190,10,155,1.6520603456648943,1.2754542931615651
01:02:40,276.0479,0.43945733,1.7272751,4,drone90,87,185,10,160,1.7823024479506107,1.321659835009224
01:02:45,276.03867,0.42038685,1.8696907,5,drone90,87,180,10,165,1.9163685494495606,1.3496313325071476
01:02:50,275.98837,0.42056102,2.0117793,5,drone90,87,174,10,170,2.0552682363749826,1.3647148678254908
01:02:55,275.90802,0.4331477,2.1175945,4,drone90,88,168,10,175,2.1614401209484244,1.3690324547502861
01:03:00,275.80322,0.44938952,2.1977115,5,drone90,87,163,10,180,2.2431867461087767,1.3690961661451242
01:03:05,275.6932,0.46325433,2.2574172,4,drone90,87,158,10,185,2.3044602381294386,1.3683920645428884
01:03:10,275.59723,0.47109294,2.3027349,5,drone90,88,154,10,190,2.3504290199442,1.3690010603986895
01:03:15,275.52463,0.4716466,2.3371866,4,drone90,88,149,10,195,2.3843010964454803,1.3716696346252313
01:03:20,275.4742,0.46500427,2.3530953,5,drone90,87,145,10,200,2.398600938463988,1.3756961714529679
01:03:25,275.43466,0.45592675,2.3432863,4,drone90,87,141,10,205,2.3872284945378084,1.3786299894591387
01:03:30,275.40228,0.4502287,2.3068638,5,drone90,87,137,10,210,2.3503885793745103,1.3780500787012064
01:03:35,275.38696,0.45569596,2.2637506,4,drone90,88,133,10,215,2.309161230178759,1.3721498215829886
01:03:40,275.4062,0.4850397,2.2466094,4,drone90,88,128,10,220,2.2983727519148083,1.3581614809226519
01:03:45,275.47003,0.56189,2.270213,5,drone90,88,124,10,225,2.3387149115420205,1.328166887397873
01:03:50,275.5543,0.6805679,2.3265653,5,drone90,88,120,10,230,2.4240624500359926,1.2862155628546974
01:03:55,275.58984,0.7650305,2.3631973,4,drone90,88,115,10,235,2.483943063892073,1.257716347483532
01:04:00,275.5614,0.79272825,2.3493905,5,drone90,88,111,10,240,2.4795269306539733,1.245373474386497
01:04:05,275.49603,0.7961334,2.274294,5,drone90,88,107,10,245,2.4096144067114884,1.234070389886952
01:04:10,275.4557,0.8350575,2.1710534,4,drone90,88,102,10,250,2.3261113244979934,1.20360766226365
01:04:15,275.46283,0.9465925,2.039433,5,drone90,88,98,10,255,2.2484048395574248,1.136241930980887
01:04:20,275.52002,1.1469419,1.8423014,5,drone90,88,93,10,260,2.1701498036812046,1.0139540353809302
01:04:25,275.59326,1.3733156,1.6127822,4,drone90,88,89,10,265,2.1182686708347926,0.8654207370824842
01:04:30,275.64304,1.6067526,1.3693206,5,drone90,88,84,10,270,2.1110880661855678,0.705786488602361
01:04:35,275.6254,1.835769,1.1295389,5,drone90,88,79,10,275,2.1554363706623794,0.5515897480404863
01:04:40,275.5417,1.9652376,0.9850466,4,drone90,88,75,10,280,2.198289250445746,0.4646354183562007
01:04:45,275.44284,1.9915489,0.96121615,5,drone90,88,70,10,285,2.2113804530455705,0.4496695123142045
01:04:50,275.39114,1.9277081,1.0734928,4,drone90,88,64,10,290,2.206455372414645,0.508106333622667
01:04:55,275.42682,1.7928454,1.2907964,5,drone90,88,59,10,295,2.2091740480446806,0.6240038451159338
01:05:00,275.53503,1.6680208,1.5234394,4,drone90,88,54,10,300,2.2590177057086116,0.7401265312111542
01:05:05,275.68475,1.6437862,1.6887884,5,drone90,88,49,10,305,2.3567009422676013,0.7989010764014521
01:05:10,275.86362,1.7162378,1.7519296,5,drone90,88,44,10,310,2.4524945483130027,0.7956890565189987
01:05:15,276.00656,1.705653,1.7569159,4,drone90,88,39,10,315,2.448674260917897,0.8002019569482659
01:05:20,276.08786,1.4996006,1.8400855,4,drone90,88,34,10,320,2.3737558018529645,0.8869982902600988
01:05:25,276.14,1.2527707,2.0325081,5,drone90,88,29,10,325,2.3875769313980437,1.0184291900952198
01:05:30,276.14594,1.247951,2.1706264,4,drone90,88,24,10,330,2.503797249534786,1.0490171609260805
01:05:35,276.02167,1.402236,2.157741,4,drone90,88,20,10,335,2.573346463804864,0.9945174344125371
01:05:40,275.6844,1.5485929,2.0494964,5,drone90,88,15,10,340,2.5687692507392272,0.923722884863829
01:05:45,275.30612,1.612386,1.9444392,4,drone90,86,11,10,345,2.525991372806455,0.8784849836016893
01:05:50,275.11853,1.653729,1.8807468,4,drone90,80,10,10,350,2.504401751147615,0.8495396092199101
01:05:55,275.1175,1.7423805,1.8270705,5,drone90,74,10,10,355,2.524693331624754,0.8091200504872633
01:06:00,275.21085,1.8429778,1.7820487,4,drone90,72,14,10,360,2.563642865233871,0.7685918411906654
01:06:05,275.2756,1.8930426,1.7552631,4,drone90,73,20,10,365,2.581580685478641,0.747650763374172
01:06:10,275.286,1.8986213,1.7611252,5,drone90,74,26,10,370,2.589657276723839,0.7478459823558756
01:06:15,275.24765,1.8862628,1.8282032,4,drone90,73,32,10,375,2.626844930930275,0.7697687640814657
01:06:20,275.2169,1.8714378,1.9515042,4,drone90,73,38,10,380,2.7038210151351514,0.8063387626497889
01:06:25,275.21484,1.8455015,2.1094706,4,drone90,73,44,10,385,2.8028096615301243,0.8520429257806406
01:06:30,275.21396,1.7847328,2.2583864,5,drone90,73,50,10,390,2.878468394667692,0.9020171399694119
01:06:35,275.17526,1.6825001,2.30482,4,drone90,73,56,10,395,2.853594543536276,0.9402238058562098
01:06:40,275.12427,1.5721593,2.2328167,4,drone90,73,63,10,400,2.7307792441673824,0.9573140821491908
01:06:45,275.11844,1.4913306,2.0965843,4,drone90,73,69,10,405,2.572884118164448,0.9525171001412627
01:06:50,275.18207,1.4735147,1.9582753,4,drone90,73,75,10,410,2.4507320787279423,0.9257256537017238
01:06:55,275.27814,1.5071924,1.8320051,5,drone90,73,81,10,415,2.372313557910035,0.8823657792614288
01:07:00,275.3098,1.5448307,1.7236431,4,drone90,73,87,10,420,2.314616043286683,0.8400519057981599
01:07:05,275.27252,1.5794368,1.6265535,4,drone90,73,93,10,425,2.2672222858724043,0.8000935628998072
01:07:10,275.23022,1.6647177,1.519945,5,drone90,73,98,10,430,2.2542222214587206,0.7399700881818418
01:07:15,275.23154,1.7799548,1.3990966,4,drone90,73,104,10,435,2.2640031771564724,0.6661639709672489
01:07:20,275.25574,1.8389994,1.2478042,5,drone90,73,110,10,440,2.222371281927932,0.5961662823698575
01:07:25,275.2759,1.8370247,1.103829,4,drone90,73,116,10,445,2.143151466800956,0.5410653473086935
01:07:30,275.28702,1.8271046,1.0257232,5,drone90,73,122,10,450,2.09533274263526,0.5115479150394355
01:07:35,275.28818,1.8534492,1.0414983,5,drone90,73,128,10,455,2.1260274330035185,0.5119520895758258
01:07:40,275.2765,1.8963432,1.1441597,4,drone90,73,134,10,460,2.2147728893252983,0.5428794937637971
01:07:45,275.25717,1.912534,1.3180813,5,drone90,72,141,10,465,2.3227407549198618,0.6034276436563699
01:07:50,275.247,1.881536,1.5315515,4,drone90,72,148,10,470,2.4260724878799995,0.6832134101426286
01:07:55,275.2575,1.8169676,1.7141539,5,drone90,72,154,10,475,2.49793812019733,0.7562899436040613
01:08:00,275.2703,1.7402422,1.7953448,4,drone90,72,161,10,480,2.500341149832934,0.8009820365256921
01:08:05,275.26636,1.6406535,1.7811341,4,drone90,72,168,10,485,2.4216074391290303,0.8264298608143426
01:08:10,275.26556,1.4558607,1.7418302,5,drone90,72,174,10,490,2.27013277660945,0.8745908896487142
01:08:15,275.32556,1.1590506,1.765053,5,drone90,72,180,10,495,2.111589540173317,0.9897491332387824
01:08:20,275.47028,0.8338145,1.9013696,4,drone90,72,187,10,500,2.0761630418188286,1.1575186487619735
01:08:25,275.66666,0.5082895,2.1464832,5,drone90,72,193,10,505,2.205844134043131,1.3382782491925962
01:08:30,275.7858,0.22156581,2.417998,4,drone90,72,200,10,510,2.428128031254727,1.4794195777846122
01:08:35,275.69696,0.016434323,2.61914,5,drone90,72,207,10,515,2.6191915597322137,1.5645217071404804
01:08:40,275.46265,-0.061571002,2.7167773,4,drone90,72,213,10,520,2.7174749099269664,1.5934556974478555
01:08:45,275.3073,-0.023339612,2.7646725,5,drone90,72,220,10,525,2.76477101578857,1.5792382155036346
01:08:50,275.4123,0.00626587,2.864842,5,drone90,71,226,10,530,2.864848852224294,1.5686091695245343
01:08:55,275.72076,-0.08345854,3.078717,5,drone90,66,227,10,535,3.0798479985200458,1.5978979102411763
01:09:00,275.94098,-0.21605308,3.3956947,5,drone90,61,227,10,540,3.4025610103252486,1.634336268396873
01:09:05,275.86807,-0.31253704,3.7033455,5,drone90,56,226,10,545,3.7165100960097246,1.654989986368375
01:09:10,275.50665,-0.43470192,3.8484213,6,drone90,56,222,10,550,3.8728945585369834,1.6832754758262407
01:09:15,275.21225,-0.5863754,3.7964797,5,drone90,57,218,10,555,3.8414963519750023,1.724037829755444
01:09:20,275.19806,-0.6282083,3.7834141,5,drone90,57,214,10,560,3.835214194835498,1.73533784210575
01:09:25,275.23224,-0.52614737,3.863285,4,drone90,57,209,10,565,3.8989488386208553,1.7061552439725043
01:09:30,275.20557,-0.36173505,3.8410435,5,drone90,57,205,10,570,3.85803932267295,1.6646956215793383
01:09:35,275.18646,-0.24680758,3.5755763,4,drone90,57,201,10,575,3.5840842426855906,1.6397129706313365
01:09:40,275.19617,-0.262417,3.2289684,5,drone90,57,196,10,580,3.239614114379606,1.6518877199107953
01:09:45,275.20706,-0.37061214,3.0668387,4,drone90,57,192,10,585,3.089150849365092,1.691058179652491
01:09:50,275.2218,-0.5051913,3.14529,5,drone90,57,187,10,590,3.185603150691512,1.7300544491966168
01:09:55,275.24048,-0.59678674,3.3192794,4,drone90,57,183,10,595,3.37250206053372,1.7486897868725286
01:10:00,275.24344,-0.6060661,3.4496624,4,drone90,57,178,10,600,3.5024972222034623,1.7447099808830941
01:10:05,275.2191,-0.57678145,3.5161068,5,drone90,57,174,10,605,3.5631003171494267,1.7333880485711486
01:10:10,275.183,-0.55408305,3.540177,5,drone90,57,169,10,610,3.5832752081896113,1.7260496050376517
01:10:15,275.162,-0.5359366,3.546918,4,drone90,57,164,10,615,3.5871793010586406,1.7207611481046072
01:10:20,275.14777,-0.49727303,3.5218277,5,drone90,57,160,10,620,3.5567612816792566,1.711066488953211
01:10:25,275.1278,-0.44671446,3.4454708,5,drone90,57,154,10,625,3.474308973368047,1.6997297498431063
01:10:30,275.11273,-0.43082577,3.3482215,4,drone90,57,149,10,630,3.375825537132857,1.6987661828424567
01:10:35,275.1218,-0.45879456,3.2633493,4,drone90,57,144,10,635,3.2954424744025017,1.7104709643484277
01:10:40,275.17288,-0.5062925,3.2036583,4,drone90,58,139,10,640,3.2434177342296104,1.7275357710487427
01:10:45,275.27612,-0.54902166,3.1866727,4,drone90,57,133,10,645,3.233621449717707,1.7414082140735925
01:10:50,275.42426,-0.5841772,3.2121637,4,drone90,57,128,10,650,3.2648520083761117,1.7506942568407258
01:10:55,275.58047,-0.6090836,3.2268455,5,drone90,58,123,10,655,3.2838262305821253,1.7573564910263482
01:11:00,275.62424,-0.63052666,3.1773612,4,drone90,58,117,10,660,3.2393190741629936,1.7666947997945552
01:11:05,275.52542,-0.6826831,3.1200762,4,drone90,58,112,10,665,3.193889745879161,1.7862049320354139
01:11:10,275.33307,-0.78978443,3.120905,5,drone90,58,107,10,670,3.219286794446159,1.8186553823988323
01:11:15,275.1764,-0.9127636,3.1701481,4,drone90,58,103,10,675,3.2989356412968367,1.8511382817758264
01:11:20,275.11255,-1.005508,3.1737232,4,drone90,58,98,10,680,3.3291988958730356,1.8776145804180437
01:11:25,275.09537,-1.0861856,3.089917,5,drone90,58,94,10,685,3.275268878204713,1.9088298020155055
01:11:30,275.0922,-1.1517107,2.9553277,4,drone90,57,88,10,690,3.171813259144015,1.942397707065254
01:11:35,275.0883,-1.2013466,2.821676,4,drone90,58,83,10,695,3.06677177212579,1.9733074726354687
01:11:40,275.083,-1.247802,2.6692867,5,drone90,58,78,10,700,2.9465405678525602,2.008080048537634
01:11:45,275.07898,-1.2789047,2.5224495,4,drone90,58,73,10,705,2.828135200398372,2.040035433123805
01:11:50,275.07748,-1.2871684,2.4044724,4,drone90,58,68,10,710,2.727322865434219,2.062301105217877
01:11:55,275.07855,-1.2744452,2.2950463,5,drone90,58,63,10,715,2.6251567737845165,2.0777015216932124
01:12:00,275.08203,-1.244559,2.214026,4,drone90,58,58,10,720,2.539850041470362,2.082900749631568
