time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_dir
01:00:05,279.8513,-1.1312476,-1.489324,6,drone90,52,125,4,5,1.870242526915095,4.0627904000071595
01:00:10,279.99655,-2.4720292,-0.36513668,7,drone90,52,125,5,10,2.498850367815981,3.288239570028113
01:00:15,280.08475,-3.6095133,1.2485228,6,drone90,52,120,7,15,3.819344897360898,2.808576997066453
01:00:20,280.03662,-3.7719414,2.222763,6,drone90,57,119,9,20,4.378152267704147,2.609086229754741
01:00:25,279.92505,-3.468693,2.3351114,7,drone90,60,124,10,25,4.1814562509559945,2.549083126471844
01:00:30,279.77646,-3.0762165,2.497094,6,drone90,60,131,10,30,3.9621441669515574,2.4597328779422156
01:00:35,279.71237,-2.6087668,2.7226822,6,drone90,62,136,10,35,3.7707641903172733,2.3348310542333763
01:00:40,279.77454,-2.2264016,2.72997,6,drone90,63,143,10,40,3.522726257514563,2.2549417227525144
01:00:45,279.8982,-2.0625606,2.6107044,7,drone90,64,149,10,45,3.3271509873842096,2.23943445153275
01:00:50,279.96622,-2.068613,2.347355,7,drone90,66,156,10,50,3.1287753578347552,2.2931567407310034
01:00:55,280.01672,-2.1322877,1.5562195,7,drone90,67,163,10,55,2.6397859700649104,2.5111221441803497
01:01:00,280.0578,-2.4051168,0.35504103,7,drone90,68,169,10,60,2.431180979406038,2.995032083885386
01:01:05,280.064,-2.8993313,-0.7692283,7,drone90,70,175,10,65,2.999639005727286,3.4009301835904675
01:01:10,280.0946,-3.4229836,-1.7085435,7,drone90,71,181,10,70,3.8256943967417483,3.6045509655316668
01:01:15,279.9584,-4.3077683,-2.5275235,7,drone90,72,188,10,75,4.994521275311293,3.672202250561681
01:01:20,279.3016,-5.293508,-3.566912,6,drone90,73,194,10,80,6.3831095997020135,3.7345364822583362
01:01:25,279.04865,-5.347887,-3.8591356,6,drone90,74,199,10,85,6.5949088654776995,3.7666809861336588
01:01:30,279.02927,-4.8197355,-3.993951,6,drone90,75,205,10,90,6.259512351642199,3.8335701154095303
01:01:35,279.0523,-4.5567784,-4.2456956,6,drone90,76,211,10,95,6.2281747337856475,3.8916651359604932
01:01:40,279.08725,-4.43953,-4.147421,6,drone90,78,217,10,100,6.075403490480364,3.8929861509435657
01:01:45,279.13522,-4.359497,-3.8134487,6,drone90,79,222,10,105,5.792029444032609,3.8602782747306574
01:01:50,279.18967,-4.455307,-3.3523972,7,drone90,81,228,10,110,5.57569075997018,3.786660126793743
01:01:55,279.29532,-4.9917073,-2.9052732,7,drone90,85,228,10,115,5.775617208187496,3.6686866032114978
01:02:00,279.38376,-5.6498575,-3.3961785,7,drone90,87,224,10,120,6.592034448800196,3.682826976101182
01:02:05,279.32755,-6.6957407,-3.5205426,7,drone90,87,220,10,125,7.56486376083874,3.625657482408115
01:02:10,279.11316,-6.5106616,-2.85034,6,drone90,87,215,10,130,7.107260554201918,3.5542513071052437
01:02:15,279.04172,-5.684208,-2.5998352,7,drone90,87,210,10,135,6.2505490682357685,3.5705656718648777
01:02:20,279.03903,-5.4137583,-2.917651,7,drone90,87,205,10,140,6.149915957850147,3.6358991548526394
01:02:25,279.06128,-5.4633102,-3.5039194,7,drone90,87,200,10,145,6.490393632370875,3.711866270842852
01:02:30,279.10043,-5.205157,-3.6994522,6,drone90,87,196,10,150,6.385891165274729,3.759482565000013
01:02:35,279.15475,-5.0303993,-3.5488265,6,drone90,87,190,10,155,6.156223407621164,3.75598440828119
01:02:40,279.19907,-5.21604,-3.280411,7,drone90,87,185,10,160,6.161831676581323,3.7029975171877014
01:02:45,279.18762,-5.4487367,-2.7367098,6,drone90,87,180,10,165,6.097402082472742,3.607050629421706
01:02:50,279.1378,-5.2391243,-2.4728928,6,drone90,87,174,10,170,5.79341196801525,3.5825944937854057
01:02:55,279.13605,-5.0952706,-2.617626,6,drone90,88,168,10,175,5.7283285837232105,3.616168900925087
01:03:00,279.16147,-5.477066,-2.7697086,6,drone90,87,163,10,180,6.137551441517208,3.6097835076499156
01:03:05,279.13165,-5.306195,-2.8369198,6,drone90,87,158,10,185,6.016960971259248,3.6325690307108647
01:03:10,279.12915,-4.7029176,-2.470091,6,drone90,88,154,10,190,5.312135493440539,3.6252162068636626
01:03:15,279.26486,-4.2366905,-1.6750811,6,drone90,88,149,10,195,4.555814206524171,3.518105531156393
01:03:20,279.47668,-4.5949626,-1.1212167,6,drone90,87,145,10,200,4.7297788726068,3.3809257471814895
01:03:25,279.4246,-5.114353,-1.155466,6,drone90,87,141,10,205,5.2432535973157925,3.3637884283570356
01:03:30,279.37558,-5.1838355,-1.6664891,6,drone90,87,137,10,210,5.445120422128335,3.45263573899308
01:03:35,279.32715,-5.2464223,-2.0812714,6,drone90,88,133,10,215,5.6441684587187195,3.5192535511739718
01:03:40,279.29425,-5.279343,-2.1449325,6,drone90,88,128,10,220,5.698438201929126,3.5275077429631967
01:03:45,279.29703,-5.7070346,-2.8270972,6,drone90,88,124,10,225,6.368887069484354,3.6015298953330985
01:03:50,279.11142,-6.304009,-3.4882023,7,drone90,88,120,10,230,7.204726556768569,3.6469894981581574
01:03:55,279.12027,-6.001105,-3.442399,6,drone90,88,115,10,235,6.918335934039774,3.6623948692290194
01:04:00,279.17825,-6.3111553,-3.3757408,6,drone90,88,111,10,240,7.157255561282043,3.6327570612812763
01:04:05,279.11716,-6.8027744,-3.4337528,6,drone90,88,107,10,245,7.620262320209403,3.609039179361018
01:04:10,279.09152,-6.359117,-3.25072,6,drone90,88,102,10,250,7.141816963356664,3.614152507677595
01:04:15,279.1086,-6.3815284,-3.0845745,6,drone90,88,98,10,255,7.087912567608098,3.591839730788487
01:04:20,279.1322,-6.2241406,-3.2181902,6,drone90,88,93,10,260,7.006901909684793,3.618786824018608
01:04:25,279.1774,-6.4454436,-3.4850883,6,drone90,88,89,10,265,7.327317630591556,3.637272157218356
01:04:30,279.2233,-6.549791,-3.455048,5,drone90,88,84,10,270,7.405208898200307,3.627001432984373
01:04:35,279.26712,-6.594707,-3.1674473,6,drone90,88,79,10,275,7.3159334889080485,3.5893575973169347
01:04:40,279.29282,-6.7111726,-2.7721388,6,drone90,88,75,10,280,7.261170098094122,3.5333094874947495
01:04:45,279.32956,-6.6490436,-2.365319,6,drone90,88,70,10,285,7.0572313811056215,3.483370307312788
01:04:50,279.4252,-6.6193047,-1.7198879,6,drone90,88,64,10,290,6.839094172476973,3.3958006150788735
01:04:55,279.4983,-6.4115663,-0.76993275,6,drone90,88,59,10,295,6.457629507707782,3.2611053430610104
01:05:00,279.49396,-5.74476,-0.2729271,6,drone90,88,54,10,300,5.751239575910085,3.189065835581583
01:05:05,279.519,-5.4265428,-0.4801335,6,drone90,88,49,10,305,5.4477421871867335,3.2298415561558915
01:05:10,279.50354,-5.5464897,-0.7346999,6,drone90,88,44,10,310,5.5949380635773,3.2732881132686162
01:05:15,279.5565,-5.4452415,-0.92076904,7,drone90,88,39,10,315,5.522542043148678,3.3091041577815643
01:05:20,279.68713,-5.2636523,-1.2447776,6,drone90,88,34,10,320,5.4088359938860275,3.373811931848211
01:05:25,279.69498,-5.639767,-1.7699388,6,drone90,88,29,10,325,5.910977513917173,3.4456904660971306
