time,theta,u,v,timestep_counter,drone,grid_x,grid_y,grid_z,seconds_after_takeoff,wind_speed,wind_dir
01:00:05,279.02435,-3.2662933,2.9831457,4,drone90,52,125,4,5,4.423554022395723,2.4014712088112358
01:00:10,278.9803,-2.99394,2.6465554,5,drone90,52,125,5,10,3.995989515610515,2.417704403509024
01:00:15,278.9729,-2.7839432,2.350166,4,drone90,52,120,7,15,3.6432979521831923,2.4404835883697853
01:00:20,278.97485,-2.604692,2.098216,4,drone90,57,119,9,20,3.3446869506009076,2.46347523437608
01:00:25,278.98267,-2.4776487,1.8655691,4,drone90,60,124,10,25,3.101465967488036,2.496200160670753
01:00:30,279.0089,-2.4362757,1.6130514,4,drone90,60,131,10,30,2.9218785233908084,2.556760179168803
01:00:35,279.06204,-2.4573317,1.3312614,4,drone90,62,136,10,35,2.7947693999603707,2.645104858934772
01:00:40,279.13852,-2.4986835,1.0959969,4,drone90,63,143,10,40,2.7284846413314954,2.7282343626774974
01:00:45,279.2456,-2.481514,0.95216054,5,drone90,64,149,10,45,2.6579167455225328,2.7752152159831773
01:00:50,279.36328,-2.4106426,0.8966938,4,drone90,66,156,10,50,2.572014291541398,2.7854784871827665
01:00:55,279.47903,-2.3729634,0.9530021,4,drone90,67,163,10,55,2.5571797551881197,2.7597004703946713
01:01:00,279.58466,-2.3072338,1.2400376,4,drone90,68,169,10,60,2.619355084228979,2.648430815052574
01:01:05,279.63913,-2.1691961,1.735658,4,drone90,70,175,10,65,2.778114542854418,2.4667670729495903
01:01:10,279.6746,-2.1142554,2.2118042,4,drone90,71,181,10,70,3.0597636698880515,2.3336491993826076
01:01:15,279.68527,-2.2917764,2.5465536,4,drone90,72,188,10,75,3.425955969546299,2.303584994219843
01:01:20,279.5634,-2.639858,2.7381945,4,drone90,73,194,10,80,3.803493049815426,2.3379117487821794
01:01:25,279.29028,-2.9684753,2.7373142,4,drone90,74,199,10,85,4.037912163015898,2.3966857759715516
01:01:30,278.9946,-3.1627984,2.553618,5,drone90,75,205,10,90,4.065004133942124,2.462360642892998
01:01:35,278.89056,-3.1762183,2.4599261,4,drone90,76,211,10,95,4.017411991159993,2.482605857344897
01:01:40,278.9462,-3.0490499,2.5300405,4,drone90,78,217,10,100,3.9620462168342083,2.4489551190557926
01:01:45,279.017,-2.8446276,2.5606828,4,drone90,79,222,10,105,3.82740154476867,2.408676962243467
01:01:50,279.04364,-2.6709914,2.4835327,4,drone90,81,228,10,110,3.6472084846966526,2.3925462690457184
01:01:55,279.04327,-2.5692606,2.3842998,5,drone90,85,228,10,115,3.5051370254231715,2.3935161133435905
01:02:00,279.0365,-2.4802196,2.3004918,4,drone90,87,224,10,120,3.3828614789984233,2.393771157087203
01:02:05,279.03558,-2.3623102,2.190166,4,drone90,87,220,10,125,3.22138737015281,2.3939897945855346
01:02:10,279.04895,-2.229232,2.0404503,4,drone90,87,215,10,130,3.022070935069872,2.4003801726910172
01:02:15,279.08478,-2.0952737,1.8518379,5,drone90,87,210,10,135,2.7963325062996534,2.4177908857812724
01:02:20,279.1428,-1.9724189,1.6619437,4,drone90,87,205,10,140,2.579242753027892,2.4414152710492676
01:02:25,279.21198,-1.8526294,1.5081708,4,drone90,87,200,10,145,2.388894065402859,2.4583308763452862
01:02:30,279.28076,-1.7274663,1.3963906,4,drone90,87,196,10,150,2.2212713759025595,2.4617833206977906
01:02:35,279.33673,-1.6330162,1.3479849,4,drone90,87,190,10,155,2.1174997520874586,2.451520657392189
01:02:40,279.37384,-1.6143972,1.362185,4,drone90,87,185,10,160,2.1123035514794837,2.440724726890524
01:02:45,279.38336,-1.7179648,1.4147034,5,drone90,87,180,10,165,2.225486185985121,2.452699878525479
01:02:50,279.34143,-1.9250787,1.451077,4,drone90,87,174,10,170,2.41071617183,2.4956796533821652
01:02:55,279.25854,-2.1117494,1.4415841,3,drone90,88,168,10,175,2.556882915929701,2.54260666374142
01:03:00,279.14502,-2.2611418,1.3794425,4,drone90,87,163,10,180,2.6487022955616375,2.5938055819486934
01:03:05,279.04434,-2.3353167,1.2708087,4,drone90,87,158,10,185,2.6586949507784037,2.6432366609468456
01:03:10,279.01587,-2.3090107,1.1772918,4,drone90,88,154,10,190,2.5918229868302602,2.6700814556725074
01:03:15,279.04065,-2.2359602,1.1238859,4,drone90,88,149,10,195,2.5025262300728937,2.6758342527165055
01:03:20,279.08038,-2.157566,1.1079433,4,drone90,87,145,10,200,2.4254132432166875,2.667191302729581
01:03:25,279.1136,-2.0854475,1.1127342,4,drone90,87,141,10,205,2.3637403992625523,2.651450351313848
01:03:30,279.13712,-2.0133858,1.1363481,5,drone90,87,137,10,210,2.3119276338188555,2.6277636202784898
01:03:35,279.15417,-1.9607196,1.1920831,4,drone90,88,133,10,215,2.294664129481648,2.5953243714981777
01:03:40,279.18036,-1.9260929,1.274726,4,drone90,88,128,10,220,2.309709989264109,2.556953234493074
01:03:45,279.23047,-1.8540213,1.3972491,5,drone90,88,124,10,225,2.3215727488718723,2.4957713483540367
01:03:50,279.307,-1.7171332,1.5641463,4,drone90,88,120,10,230,2.3227354723140405,2.4027849100052254
01:03:55,279.40787,-1.5621338,1.7711647,4,drone90,88,115,10,235,2.3616279138823986,2.293566574443611
01:04:00,279.52454,-1.3750886,2.0502744,4,drone90,88,111,10,240,2.468702852338718,2.1615758020825098
01:04:05,279.59338,-1.0846974,2.395836,4,drone90,88,107,10,245,2.629942696802111,1.9959287907025463
01:04:10,279.54047,-0.7935218,2.67574,4,drone90,88,102,10,250,2.7909248278438525,1.8590956704007162
01:04:15,279.42847,-0.80769503,2.8286793,4,drone90,88,98,10,255,2.9417338159213506,1.8489328663430324
01:04:20,279.41122,-1.1988246,2.8806899,5,drone90,88,93,10,260,3.120185046039284,1.9651546738252623
01:04:25,279.5244,-1.5434016,2.7816243,4,drone90,88,89,10,265,3.1811196527689822,2.0773602898500076
01:04:30,279.65152,-1.7218069,2.6681123,4,drone90,88,84,10,270,3.1754436298411757,2.1438799957589847
01:04:35,279.72476,-1.8716097,2.689204,3,drone90,88,79,10,275,3.276391463599869,2.178813569631915
01:04:40,279.70743,-1.9591421,2.804138,4,drone90,88,75,10,280,3.4207349635767472,2.1806231257436934
